alacritty 0.15.1-1
antigravity 1.15.8-1
base 3-2
base-devel 1-2
bash-completion 2.14.0-2
bat 0.26.1-1
bluez 5.85-1
bluez-utils 5.85-1
brave-bin 1:1.86.142-1
brightnessctl 0.5.1-3
btrfs-progs 6.17.1-2
cliphist 1:0.7.0-1
cups 2:2.4.16-1
cups-pk-helper 0.2.7-2
docker 1:29.2.0-1
dolphin 25.12.1-1
dunst 1.13.0-1
efibootmgr 18-3
eza 0.23.4-1
fastfetch 2.58.0-1
fd 10.3.0-1
firefox 147.0.1-1
fzf 0.67.0-2
git 2.52.0-2
grim 1.5.0-2
grimblast-git r154.541628c-1
gst-plugin-pipewire 1:1.4.10-1
htop 3.4.1-1
hypridle 0.1.7-6
hyprland 0.53.3-1
hyprlock 0.9.2-8
hyprpicker 0.4.5-8
imagemagick 7.1.2.13-1
intel-media-driver 25.3.4-1
intel-ucode 20251111-1
iwd 3.10-1
kate 25.12.1-1
kdecoration 6.5.5-1
kvantum 1.1.5-1
kwayland-integration 6.5.5-1
lazydocker 0.24.2-1
lazygit 0.58.1-1
libpulse 17.0+r98+gb096704c0-1
libva-intel-driver 2.4.1-5
linux 6.18.6.arch1-1
linux-firmware 20260110-1
linux-lts 6.12.67-1
miniconda3 25.11.1.1-1
nano 8.7-1
neovim 0.11.5-1
network-manager-applet 1.36.0-1
networkmanager 1.54.3-1
papirus-folders-catppuccin-git r30.f83671d1-2
pipewire 1:1.4.10-1
pipewire-alsa 1:1.4.10-1
pipewire-jack 1:1.4.10-1
pipewire-pulse 1:1.4.10-1
playerctl 2.4.1-3
polkit-gnome 0.105-12
polkit-kde-agent 6.5.5-1
power-profiles-daemon 0.30-1
qt5-graphicaleffects 5.15.18-1
qt5-quickcontrols2 5.15.18+kde+r5-1
qt5-wayland 5.15.18+kde+r55-1
qt5ct 1.9-1
qt6-wayland 6.10.1-1
qt6ct 0.11-3
rofi 2.0.0-1
sddm 0.21.0-6
sddm-sugar-candy-git 1.6r42.d31dbf5-1
slurp 1.5.0-1
smartmontools 7.5-1
sof-firmware 2025.12.1-1
sudo 1.9.17.p2-2
swww 0.11.2-1
system-config-printer 1.5.18-6
terminus-font 4.49.1-8
ttf-jetbrains-mono-nerd 3.4.0-2
uwsm 0.26.0-1
vim 9.1.2077-1
vulkan-intel 1:25.3.4-1
waybar 0.14.0-6
wget 1.25.0-3
wireless_tools 30.pre9-5
wireplumber 0.5.13-1
wl-clipboard 1:2.2.1-3
wlogout 1.2.2-0
wofi 1.5.3-1
wpa_supplicant 2:2.11-5
xdg-desktop-portal-hyprland 1.3.11-3
xdg-utils 1.2.1-2
xorg-server 21.1.21-1
xorg-xinit 1.4.4-1
yay-bin 12.5.7-1
yay-bin-debug 12.5.7-1
zoxide 0.9.8-2
zram-generator 1.2.1-1
